agency,sectors,project_types,total_records,top_code,top_code_count,second_code,second_code_count,third_code,third_code_count,fourth_code,fourth_code_count,discriminating_input
DOE,Agriculture and Natural Resource Management; Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Agriculture; Renewable Energy Production - Biomass; Research and Development; Waste Management; Water Resources - Other,20,A9 + B3.11 + B3.16 + B3.6 + B5.25,8,A9 + B3.6,5,A9 + B3.6 + B5.15,2,A9 + B3.6 + B3.8 + B5.1,1,action_type: Operate/Maintain Existing → A9 + B3.11 + B3.16 + B3.6 + B5.25
DOE,Transportation and Infrastructure; Water and Waste Management,"Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Irrigation and Water Supply",20,B1.3,5,B1.15,2,B1.31,2,B2.5,1,action_type: Operate/Maintain Existing → B1.3
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Land Development - Other; Pipelines; Vegetation and Fuels Management; Waste Management; Water Resources - Irrigation and Water Supply,19,Energy Policy Act 2005 Sec.390,9,Energy Policy Act 2005 Sec.390 Cat.3,9,516 DM 11.9,1,,0,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Surface Transportation - Other; Waste Management,19,516 DM 11.9,10,Energy Policy Act 2005 Sec.390,7,516 DM 6,1,516 DM 11,1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Other; Utilities (electricity, gas, telecommunications); Water Resources - Irrigation and Water Supply",19,516 DM 11.9,7,516 DM 11.9 E,3,516 DM,2,516 DM 2 A,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Land-based Oil & Gas; Pipelines; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other",19,516 DM 11.9,6,Energy Policy Act 2005 Sec.390,4,Energy Policy Act 2005 Sec.390 Cat.1,2,Energy Policy Act 2005 Sec.390(b)(3),2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Ecosystem Management and Restoration; Land Development - Other; Public and Recreational Land Use,19,516 DM 11.9,7,516 DM 11.9 A,3,43 CFR 46.210,3,516 DM 11.9 H,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Geothermal; Research and Development; Waste Management,19,516 DM 11.9,8,516 DM 2,5,43 CFR 46.210,2,516 DM 2 A,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Electricity Transmission; Pipelines; Utilities (electricity, gas, telecommunications)",19,516 DM 11.9,7,Energy Policy Act 2005 Sec.390 Cat.4,3,Energy Policy Act 2005 Sec.390(b)(4),3,Energy Policy Act 2005 Sec.390 Cat.1,3,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Land Development - Housing; Renewable Energy Production - Geothermal; Waste Management; Water Resources - Other,19,B5.1,10,B5.19,7,A9 + B5.1,1,A9 + B5.19,1,action_type: Operate/Maintain Existing → B5.1
DOE,Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure,"Cybersecurity; Research and Development; Utilities (electricity, gas, telecommunications)",19,A9 + B3.6,5,A11 + A9 + B3.6,4,A1 + A11 + A9,2,A1 + B1.3 + B1.7 + B3.6,1,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Energy Storage; Renewable Energy Production - Other; Research and Development; Waste Management,19,B3.15 + B3.6,11,B3.6,3,A1 + A9 + B3.6,1,B1.31,1,action_type: Operate/Maintain Existing → B3.15 + B3.6
DOE,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Renewable Energy Production - Energy Storage; Utilities (electricity, gas, telecommunications); Waste Management",19,B1.7,3,B1.19 + B1.3 + B1.7,2,A11 + A9 + B1.7 + B4.4 + B4.6,2,A11 + A9 + B4.4,1,action_type: Operate/Maintain Existing → B1.7
DOE,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Land Development - Urban; Utilities (electricity, gas, telecommunications)",19,B5.1,10,B5.22,3,A1 + A9 + B3.6 + B5.1,2,A9 + B2.5 + B3.6 + B5.1,1,action_type: Operate/Maintain Existing → B5.1
DOE,"Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies",Military and Defense; Research and Development,19,B3.6,9,B3.11,6,B3.1,2,B1.2,1,action_type: Operate/Maintain Existing → B3.6
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Land Development - Other; Water Resources - Other,19,B1.3,9,B4.12,2,B4.6,2,B4.13,2,action_type: Operate/Maintain Existing → B1.3
DOE,Environmental Policy and Regulation; Materials and Manufacturing,"Laws, Policies, Regulations, and Guidance; Manufacturing",19,B5.1,12,A5 + A6,4,A6,2,A11 + A9,1,action_type: Operate/Maintain Existing → B5.1
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Nuclear Technology; Pipelines; Waste Management,19,B1.3,13,B2.5,2,B1.33 + B5.4,1,B5.4,1,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Water and Waste Management,Renewable Energy Production - Solar; Waste Management; Water Resources - Other,19,B5.1,7,B3.1,4,A9 + B5.1,2,A9 + B1.5 + B2.2 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
DOE,Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure,"High Performance Computing and Advanced Computer Hardware and Software; Research and Development; Utilities (electricity, gas, telecommunications)",19,A9 + B3.6,5,A9,3,B5.1,3,A11 + A9,2,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other",19,B4.6,5,B1.3,4,B1.27,2,B2.5 + B5.1,1,action_type: Operate/Maintain Existing → B4.6
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies,Conventional Energy Production - Nuclear; Manufacturing; Nuclear Technology; Research and Development,19,B3.6,13,A9 + B3.6,2,A9 + B3.15 + B3.6,2,B1.31,1,action_type: Operate/Maintain Existing → B3.6
BLM,Land Development and Urban Planning; Water and Waste Management,Land Development - Other; Public and Recreational Land Use; Water Resources - Other,18,516 DM 11.9,10,"DOI Departmental Manual Part 516 Chapter 11.9, E.1",1,516 DM,1,516 DM 2,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Transportation and Infrastructure,Ecosystem Management and Restoration; Public and Recreational Land Use; Surface Transportation - Other,18,516 DM 11.9,6,516 DM 2,2,H-1790-1 National Environmental Policy Act Handboo,2,43 CFR 46.210,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management,Ecosystem Management and Restoration; Threatened and Endangered Species Management; Vegetation and Fuels Management,18,516 DM 11.9,8,516 DM 11,3,516 DM 11.9 C,1,Agriculture Improvement Act of 2018 (P.L. 115–334),1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Pipelines; Waste Management; Water Resources - Irrigation and Water Supply,18,Energy Policy Act 2005 Sec.390 Cat.3,13,Energy Policy Act 2005 Sec.390(b)(3),3,Energy Policy Act 2005 Sec.390,1,Energy Policy Act 2005 Sec.390(b)(1),1,action_type: Operate/Maintain Existing → Energy Policy Act 2005 Sec.390 Cat.3
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Ecosystem Management and Restoration; Land Use or Forest Management Plan; Public and Recreational Land Use; Vegetation and Fuels Management; Waste Management,18,516 DM 11.9,5,section 40806 of the Infrastructure Investment and,3,516 DM 11.9.C,2,516 DM,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Ecosystem Management and Restoration; Public and Recreational Land Use; Threatened and Endangered Species Management; Vegetation and Fuels Management; Waste Management,18,516 DM 11.9,11,516 DM 2,3,516 DM 11.9 H,2,516 DM 11.9. H,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Waste Management; Water Resources - Irrigation and Water Supply,18,Energy Policy Act 2005 Sec.390(b)(3),10,Energy Policy Act 2005 Sec.390,6,516 DM 11.9,1,Energy Policy Act 2005 Sec.390(b)(2),1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Public and Recreational Land Use; Renewable Energy Production - Solar; Utilities (electricity, gas, telecommunications); Waste Management",18,B5.1,5,B3.6 + B5.1,2,A9 + B5.1,2,B2.5 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies,Manufacturing; Renewable Energy Production - Solar; Research and Development,18,B3.6,8,B3.6 + B5.15,2,A9 + B3.6,2,A9 + B3.6 + B5.1,1,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Land Development - Urban; Renewable Energy Production - Geothermal; Waste Management; Water Resources - Other,18,B5.1,10,A9 + B5.1,3,B5.19,3,A9 + B3.1,1,action_type: Operate/Maintain Existing → B5.1
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Land Development - Other; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other",18,B4.11,3,B1.3,2,B4.11 + B4.6,2,A11 + B1.3 + B2.1 + B2.2 + B2.3,1,action_type: Operate/Maintain Existing → B4.11
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Manufacturing; Renewable Energy Production - Energy Storage; Research and Development; Surface Transportation - Other; Waste Management,18,A9 + B3.6 + B5.1 + B5.23,5,B3.6,4,A9 + B3.15 + B3.6,3,A9 + B3.6 + B5.1,2,action_type: Operate/Maintain Existing → A9 + B3.6 + B5.1 + B5.23
DOE,Transportation and Infrastructure; Water and Waste Management,"Utilities (electricity, gas, telecommunications); Water Resources - Irrigation and Water Supply",18,B1.3,12,A.8,3,B5.1,2,B1.3 + B2.2,1,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Technology and Data Management,Carbon Capture and Sequestration; Data Storage and Data Management; Research and Development,18,A11 + A9,7,A1 + A11 + A9,2,A1 + A11 + A9 + B3.6,2,B3.11 + B3.6,2,action_type: Operate/Maintain Existing → A11 + A9
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Other; Manufacturing; Research and Development; Waste Management,18,B3.6,8,A9 + B3.15 + B3.6,3,A11 + A9 + B2.2 + B3.6 + B5.1,2,A1 + A9 + B3.6,1,action_type: Operate/Maintain Existing → B3.6
DOE,Agriculture and Natural Resource Management; Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Agriculture; Carbon Capture and Sequestration; Renewable Energy Production - Biomass; Research and Development; Waste Management,18,B3.6,6,A9 + B3.6,3,A1 + A11 + A9 + B3.6,2,A11 + A9 + B3.6,2,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Renewable Energy Production - Solar; Utilities (electricity, gas, telecommunications); Waste Management",18,A9 + B5.16,4,B1.7,3,B1.7 + B4.6,2,B5.1,1,action_type: Operate/Maintain Existing → A9 + B5.16
DOE,Energy Production and Management; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Waste Management,18,B1.3,10,B5.12,6,A8,1,A8 + B1.3,1,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Renewable Energy Production - Biomass; Waste Management,18,B5.1,9,B1.15 + B5.1,3,A9 + B1.15 + B4.4 + B4.6 + B4.8 + B5.1,1,B1.7 + B4.6,1,action_type: Operate/Maintain Existing → B5.1
BLM,Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Housing; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",17,516 DM 11.9,7,516 DM 11.9 A,2,43 CFR 46.210,2,"None, E-17 “Grant of a short rights-of-way for uti",1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Agriculture; Land Development - Other; Water Resources - Irrigation and Water Supply,17,516 DM 11.9,8,516 DM 11.9E,3,516 DM 11.9 E,3,516 DM 2,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Transportation and Infrastructure,"Electricity Transmission; Pipelines; Utilities (electricity, gas, telecommunications)",17,516 DM 11.9,13,"None, None",1,516 DM 11,1,H-1790-1 - National Environmental Policy Act Handb,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Surface Transportation - Other; Waste Management,17,516 DM 11.9,7,Energy Policy Act 2005 Sec.390(b)(3),6,Energy Policy Act 2005 Sec.390(b)(2),1,Energy Policy Act 2005 Sec.390,1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Water and Waste Management,Agriculture; Ecosystem Management and Restoration; Rangeland Management; Water Resources - Irrigation and Water Supply,17,516 DM 11.9,11,516 DM 11.9 D.2,2,43 CFR 46.210,1,516 DM 11.9.D.1,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Pipelines; Surface Transportation - Other; Waste Management; Water Resources - Other,17,Energy Policy Act 2005 Sec.390 Cat.3,6,516 DM 11.9,5,Energy Policy Act 2005 Sec.390,4,516 DM 11.9. D,1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Public and Recreational Land Use; Rangeland Management; Waste Management,17,516 DM 2,4,516 DM 11.9 H,2,516 DM 11,2,516 DM 11.9,2,action_type: Operate/Maintain Existing → 516 DM 2
BLM,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,Public and Recreational Land Use; Routine Maintenance; Surface Transportation - Other,17,516 DM 11.9,10,516 DM 11.9 A,2,516 DM,1,516 DM 2,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Ecosystem Management and Restoration; Land Use or Forest Management Plan; Public and Recreational Land Use; Vegetation and Fuels Management,17,516 DM 11.9,6,516 DM 2,4,516 DM 11.9 C,2,43 CFR 46.210,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing,Ecosystem Management and Restoration; Land Development - Other; Mining - Non-Metallic Minerals,17,516 DM 11.9,8,516 DM 2,3,"CXAP4 F10, BLM - Solid Minerals Disposal of minera",1,516 DM 11.9 E,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Transportation and Infrastructure,"Broadband; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Utilities (electricity, gas, telecommunications)",17,516 DM 11.9,7,516 DM 11.9 E,3,43 CFR 46.210,3,516 DM 2,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Transportation and Infrastructure,"Electricity Transmission; Land Use or Forest Management Plan; Utilities (electricity, gas, telecommunications); Vegetation and Fuels Management",17,516 DM 11.9,12,516 DM 11.9.E,2,"DOI Departmental Manual Part 516 Chapter 11, E",1,516 DM 11.9 E,1,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Routine Maintenance; Utilities (electricity, gas, telecommunications)",17,B1.3,6,B1.4,5,B2.2 + B2.5,1,B1.3 + B1.4,1,action_type: Operate/Maintain Existing → B1.3
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Land Development - Other; Surface Transportation - Other; Water Resources - Other,17,B1.3,9,B1.13 + B1.3,3,B1.24 + B4.11 + B4.9,1,B1.13,1,action_type: Operate/Maintain Existing → B1.3
DOE,Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure,"Cybersecurity; Electricity Transmission; Research and Development; Utilities (electricity, gas, telecommunications)",17,A1 + A11 + A9 + B3.6,3,A9,3,B1.7 + B3.6,2,A1 + A11 + A9 + B1.3 + B1.7,1,action_type: Operate/Maintain Existing → A1 + A11 + A9 + B3.6
DOE,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Land Development - Urban; Renewable Energy Production - Solar; Waste Management,17,A9 + B5.16,8,B5.1,5,A9 + B5.1,2,A11 + B5.1,1,action_type: Operate/Maintain Existing → A9 + B5.16
DOE,Land Development and Urban Planning; Water and Waste Management,Land Development - Urban; Waste Management; Water Resources - Other,17,B1.15,4,B1.3,3,B4.9,3,B5.1 + B6.8,1,action_type: Operate/Maintain Existing → B1.15
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Carbon Capture and Sequestration; Research and Development; Water Resources - Other,17,B3.1,6,A9 + B3.1 + B3.6 + B3.7,2,A9 + B3.1,2,A11 + A9 + B3.1 + B3.6 + B3.7,1,action_type: Operate/Maintain Existing → B3.1
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management,Renewable Energy Production - Solar; Research and Development; Semiconductors; Waste Management,17,A9 + B3.6,9,A9 + B3.15 + B3.6,4,A9 + B3.11 + B3.6,2,B3.6,2,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Utilities (electricity, gas, telecommunications); Water Resources - Irrigation and Water Supply",17,B1.3,3,B4.6,3,B2.5 + B4.6,1,B4.4,1,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Utilities (electricity, gas, telecommunications)",17,B5.22,8,B5.1,5,B1.3,2,B2.5 + B5.1,1,action_type: Operate/Maintain Existing → B5.22
DOE,Land Development and Urban Planning,Land Development - Other; Public and Recreational Land Use,17,B1.15,6,B1.3,3,B3.14,3,B1.15 + B2.1 + B2.3,1,action_type: Operate/Maintain Existing → B1.15
DOE,Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure,Artificial Intelligence and Machine Learning; Research and Development; Surface Transportation - Other,17,B3.6,5,A9 + B3.6,4,A9 + B3.6 + B5.1,3,B1.24 + B3.11,2,action_type: Operate/Maintain Existing → B3.6
DOE,Miscellaneous and Emerging Technologies; Water and Waste Management,Nuclear Technology; Water Resources - Other,17,B1.3,12,B3.1,2,B1.2,1,B2.5,1,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,"Renewable Energy Production - Geothermal; Utilities (electricity, gas, telecommunications); Waste Management",17,B5.1,10,A9 + B5.1,2,A11 + A9,1,B1.24 + B2.2 + B5.1,1,action_type: Operate/Maintain Existing → B5.1
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Routine Maintenance; Utilities (electricity, gas, telecommunications); Water Resources - Other",17,B1.3,11,B2.1,2,B1.16 + B2.3,2,B1.4,1,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Biomass; Research and Development; Waste Management; Water Resources - Other,17,A9 + B3.6,11,B3.6,2,B3.6 + B3.8,1,A9 + B3.6 + B5.1,1,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management,Artificial Intelligence and Machine Learning; Renewable Energy Production - Biomass; Research and Development; Waste Management,17,A9 + B3.6,9,B1.24 + B3.6,3,A1 + A11 + A9 + B3.6,2,A9 + B3.6 + B5.15,2,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,"Renewable Energy Production - Energy Storage; Surface Transportation - Other; Utilities (electricity, gas, telecommunications); Waste Management",17,B5.1,8,B5.23,5,A9 + B3.6 + B5.1 + B5.23,1,A9 + B5.1 + B5.23,1,action_type: Operate/Maintain Existing → B5.1
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Public and Recreational Land Use; Utilities (electricity, gas, telecommunications); Waste Management",17,B5.1,4,B2.5 + B5.1,2,B1.4 + B2.5 + B5.1,2,B1.4 + B2.2 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
BLM,Agriculture and Natural Resource Management; Water and Waste Management,Ecosystem Management and Restoration; Vegetation and Fuels Management; Water Resources - Other,16,516 DM 11.9,8,516 DM 11.9 D,3,43 CFR 46.210,2,"BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4,",1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Transportation and Infrastructure,"Broadband; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",16,516 DM 11.9,7,"DOI Departmental Manual Part 516 Chapter 11.9, E.1",2,516 DM 11.9. A,2,516 DM 6,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Electricity Transmission; Land Development - Other; Utilities (electricity, gas, telecommunications)",16,Energy Policy Act 2005 Sec.390 Cat.1,5,516 DM 6,3,Energy Policy Act 2005 Sec.390(b)(4),2,Energy Policy Act 2005 Sec.390 Cat.4,2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Transportation and Infrastructure,Agriculture; Land Development - Other; Surface Transportation - Other,16,516 DM 11.9,12,516 DM 11.9.E,2,516 DM 11.9 E,1,516 DM 11.9 E 16,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Waste Management; Water Resources - Irrigation and Water Supply,16,Energy Policy Act 2005 Sec.390,8,Energy Policy Act 2005 Sec.390(b)(3),2,Energy Policy Act 2005 Sec.390(b)(2),2,Energy Policy Act 2005 Sec.390 Cat.3,1,action_type: Operate/Maintain Existing → Energy Policy Act 2005 Sec.390
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Land Development - Other; Waste Management,16,516 DM 11.9,10,Energy Policy Act 2005 Sec.390,3,"None, DOI-BLM-MT-C030-2017-0111-CX",1,Energy Policy Act 2005 Sec.390(b)(2),1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,Public and Recreational Land Use; Research and Development; Surface Transportation - Other,16,516 DM 11.9,10,516 DM 2,2,516 DM 11.9.E.19,1,516 DM 11.9 E,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies,Ecosystem Management and Restoration; Land Use or Forest Management Plan; Research and Development,16,43 CFR 46.210,5,516 DM 2,5,"Appendix 3, Departmental Categorical Exclusions, 1",2,516 DM 11.9. S,2,action_type: Operate/Maintain Existing → 43 CFR 46.210
BLM,Agriculture and Natural Resource Management,Ecosystem Management and Restoration; Land Use or Forest Management Plan; Threatened and Endangered Species Management; Vegetation and Fuels Management,16,516 DM 11.9,8,516 DM 11.9 C,2,516 DM 11.9C,2,516 DM 11.9 J,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Pipelines; Water Resources - Irrigation and Water Supply,16,Energy Policy Act 2005 Sec.390(b)(4),8,516 DM 11.9,2,Energy Policy Act 2005 Sec.390,2,Energy Policy Act 2005 Sec.390 Cat.1,2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Transportation and Infrastructure; Water and Waste Management,Agriculture; Pipelines; Rangeland Management; Water Resources - Irrigation and Water Supply,16,516 DM 11.9,5,516 DM 11.9 E,3,516 DM 11.9E,2,516 DM 11.9 D,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management,Ecosystem Management and Restoration; Land Use or Forest Management Plan; Rangeland Management; Threatened and Endangered Species Management,16,516 DM 11.9,6,FLPMA 402(h),3,516 DM,2,H-1790-1-National Environmental Policy Act Handboo,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Water and Waste Management,Ecosystem Management and Restoration; Rangeland Management; Threatened and Endangered Species Management; Water Resources - Other,16,516 DM 11.9,6,516 DM 11.9. J,2,516 DM 2,2,516 DM 11.9 S,1,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,"Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies",Military and Defense; Nuclear Technology,16,B2.5,5,B1.3,3,B2.2,3,A.1,2,action_type: Operate/Maintain Existing → B2.5
DOE,Miscellaneous and Emerging Technologies; Technology and Data Management,High Performance Computing and Advanced Computer Hardware and Software; Research and Development,16,A9,4,B3.6,2,A11 + A9,2,A1 + A9 + B3.6,2,action_type: Operate/Maintain Existing → A9
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Research and Development; Water Resources - Other,16,B3.6,10,B3.12,1,A9 + B3.6,1,B1.31,1,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Renewable Energy Production - Geothermal; Research and Development; Waste Management,16,A9 + B3.6,9,B3.6,2,A7 + A9 + B3.1,1,A9,1,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies,Land Development - Other; Manufacturing; Nuclear Technology,16,B1.15,8,B1.3,5,B1.31,1,B1.22,1,action_type: Operate/Maintain Existing → B1.15
