ce_code_normalized,authority_cfr,plain_language_description,record_count_in_nepatec,agencies,indoor_only,acreage_threshold,requires_gis_extraordinary_circumstances_check,applicable_sectors,applicable_project_types
516 DM 11.9.I,"516 DM 11.9.I.(1), Planned actions in response to wildfires, floods, weather eve","516 DM 11.9.I.(1), Planned actions in response to wildfires, floods, weather events, earthquakes, or landslips that thre",13,BLM,No,,No,"Agriculture and Natural Resource Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Transportation and Infrastructure; Water and Waste Management","Ecosystem Management and Restoration; Emergency and Disaster Response; Pipelines; Public and Recreational Land Use; Rangeland Management; Surface Transportation - Other; Threatened and Endangered Species Management; Utilities (electricity, gas, telec"
B3.10,B3.10,B3.10,13,DOE,No,,No,"Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Water and Waste Management",Land Development - Other; Manufacturing; Military and Defense; Nuclear Technology; Research and Development; Waste Management; Water Resources - Other
A11 + A8 + A9,"A9, A11, A8","A9, A11, A8",13,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Other; Electricity Transmission; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Manufacturing; Renewable Energy Production - Other; Renewable Energy Production - Solar; Research and Dev"
B1.24 + B1.3,"B1.3, B1.24","B1.3, B1.24",13,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Aviation - Airports and Air Traffic; Broadband; Cybersecurity; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Manufacturing; Military and Defense
B4.4,B4.4,B4.4,13,DOE,No,,No,"Energy Production and Management; Environmental Policy and Regulation; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure;","Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Data Storage and Data Management; Electricity Transmission; Emergency and Disaster Response; Laws, Policies, Regulations, and Guidance; Manufacturing; Milit"
B2.2 + B2.5 + B5.1,"B2.2, B2.5, B5.1","B2.2, B2.5, B5.1",13,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Land Development - Urban; Public and Recreational Land Use; Renewable Energy Production - Other; Renewable Energy Production - Solar; Surface Transportation - Other; Utilities (electricity, gas, telecommunications); Waste Ma"
B6.4,B6.4,B6.4,13,DOE,No,,No,Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Land Development - Other; Laws, Policies, Regulations, and Guidance; Nuclear Technology; Utilities (electricity, gas, telecommunications); Waste Management"
B4.6 + B4.7,"B4.6, B4.7","B4.6, B4.7",13,DOE,No,,No,"Land Development and Urban Planning; Military, Defense, and Emergency Response; Transportation and Infrastructure; Water and Waste Management","Broadband; Electricity Transmission; Land Development - Other; Military and Defense; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Irrigation and Water Supply; Water Resources - Other"
B1.15 + B2.1,"B1.15, B2.1","B1.15, B2.1",13,DOE,No,,No,"Energy Production and Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management",Broadband; Conventional Energy Production - Other; Data Storage and Data Management; Electricity Transmission; Emergency and Disaster Response; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Land Dev
"BLM NEPA Handbook, Appendix 4, Section H, page 153","BLM NEPA Handbook, Appendix 4, Section H, page 153, Issuance of Special Recreati","BLM NEPA Handbook, Appendix 4, Section H, page 153, Issuance of Special Recreation Permits for day use or overnight use ",12,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Rangeland Management; Research and Development; Surface Transportation - Other; Threatened and Enda"
516 DM 11 E,"516 DM 11 E. Realty, (16) ""Issuance of leases, permits, or rights-of-way for the","516 DM 11 E. Realty, (16) ""Issuance of leases, permits, or rights-of-way for the use of existing facilities, improvement",12,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Electricity Transmission; Land Development - Housing; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidanc"
"BLM Categorical Exclusions for Realty, Number 12 (","BLM Categorical Exclusions for Realty, Number 12 (Grants of right-of-way wholly ","BLM Categorical Exclusions for Realty, Number 12 (Grants of right-of-way wholly within the boundaries of other compatibl",12,BLM,No,,No,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Pipelines; Surface Transportation - Other; Utilities (electricity, gas, telecommunications); Waste Management"
B1.11 + B2.2,"B1.11, B2.2","B1.11, B2.2",12,DOE,No,,No,"Agriculture and Natural Resource Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste M","Cybersecurity; Electricity Transmission; Land Development - Other; Military and Defense; Nuclear Technology; Utilities (electricity, gas, telecommunications); Vegetation and Fuels Management; Waste Management"
B1.6,B1.6,B1.6,12,DOE,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Nuclear Technology; Research and Development; Waste Management; Water Resources - Other
B1.3 + B4.10 + B4.6,"B1.3, B4.6, B4.10","B1.3, B4.6, B4.10",12,DOE,No,,No,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Nuclear Technology; Utilities (electricity, gas, telecommunications); Vegetation and Fuels Management; Waste Management"
A11 + A9 + B3.6 + B3.7,"A9, A11, B3.6, B3.7","A9, A11, B3.6, B3.7",12,DOE,No,,No,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Offshore Oil and Gas; Cybersecurity; Electricity Transmission; Manufacturing; Mining - Metals; Pipelines; Research and Developme
A11 + B3.1,"A11, B3.1","A11, B3.1",12,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Manufacturing; Mining - Metals; Mining - Non-Metallic Minerals; Renewable Energy Pro
B2.1 + B2.2,"B2.1, B2.2","B2.1, B2.2",12,DOE,No,,No,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,"Broadband; Cybersecurity; Data Storage and Data Management; Land Development - Other; Land Development - Urban; Research and Development; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other"
A8 + B1.3,"A8, B1.3","A8, B1.3",12,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management",Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Use or Forest Management Plan; Pipelines; Routine Maintenance; Surface Transportation - Other
A8 + A9 + B1.23 + B1.3 + B1.31,"A8, A9, B1.3, B1.23, B1.31","A8, A9, B1.3, B1.23, B1.31",12,DOE,No,,No,"Environmental Policy and Regulation; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies","Laws, Policies, Regulations, and Guidance; Manufacturing; Military and Defense; Nuclear Technology; Routine Maintenance"
A9 + B3.16,"A9, B3.16","A9, B3.16",12,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Offshore Oil and Gas; Ecosystem Management and Restoration; Electricity Transmission; Manufacturing; Renewable Energy Production - Energy Storage; Renewable Energy Production - Hydrokinetic; Renewable Energy Productio
B5.25,B5.25,B5.25,12,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Electricity Transmission; Renewable Energy Production - Hydrokinetic; Renewable Energy Production - Other; Renewable Energy Production - Solar; Renewable Energy Production - Wind, Offshore; Renewable Energy Produ"
B5.1 + B5.22,"B5.1, B5.22","B5.1, B5.22",12,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Land Development - Other; Land Development - Urban; Manufacturing; Pipelines; Renewable Energy Production - Biomass; Surface Transportation - Other; Surfac
A1 + A11 + A9 + B3.1,"A1, A9, A11, B3.1","A1, A9, A11, B3.1",12,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Laws, Policies, Regulations, and Guidance; Mining - Metals; Mining - Non-Metallic "
A9 + B3.1 + B3.3 + B3.6,"A9, B3.1, B3.3, B3.6","A9, B3.1, B3.3, B3.6",12,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Miscellaneous and Emerging Technologies; Water and Waste Management,"Agriculture; Carbon Capture and Sequestration; Ecosystem Management and Restoration; Laws, Policies, Regulations, and Guidance; Rangeland Management; Renewable Energy Production - Biomass; Renewable Energy Production - Energy Storage; Renewable Energ"
A5,A5,A5,12,DOE,No,,No,Environmental Policy and Regulation; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,"Laws, Policies, Regulations, and Guidance; Manufacturing; Nuclear Technology; Water Resources - Other"
516 DM 11.5 H,"516 DM 11.5 H (Recreation Management), Issuance of Special Recreation Permits fo","516 DM 11.5 H (Recreation Management), Issuance of Special Recreation Permits for day use or overnight use up to 14 cons",11,BLM,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Ecosystem Management and Restoration; Public and Recreational Land Use; Research and Development; Surface Transportation - Other; Waste Management
516 DM 11.9.E.16,"United States Department of the Interior Departmental Manual 516 DM 11.9.E.16, A","United States Department of the Interior Departmental Manual 516 DM 11.9.E.16, Acquisition of easements for an existing ",11,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Broadband; Ecosystem Management and Restoration; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Surface Transportation - Other; Utilities (electricity, gas, telecommunications); Vegetation and"
"Appendix 3, Departmental Categorical Exclusions, 1","Appendix 3, Departmental Categorical Exclusions, 1.6 Nondestructive data collect","Appendix 3, Departmental Categorical Exclusions, 1.6 Nondestructive data collection, inventory (including field, aerial,",11,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure,"Agriculture; Data Storage and Data Management; Ecosystem Management and Restoration; Land Use or Forest Management Plan; Renewable Energy Production - Solar; Renewable Energy Production - Wind, Onshore; Research and Development; Utilities (electricit"
B.1.24,B.1.24,B.1.24,11,DOE,No,,No,Land Development and Urban Planning; Transportation and Infrastructure,"Broadband; Electricity Transmission; Land Development - Other; Utilities (electricity, gas, telecommunications)"
A11 + A9 + B1.16 + B1.34 + B2.2 + B3.1 + B5.1 + B5.16 + B5.17,"A9, A11, B1.16, B1.34, B2.2, B3.1, B5.16, B5.17, B5.1","A9, A11, B1.16, B1.34, B2.2, B3.1, B5.16, B5.17, B5.1",11,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Land Development - Housing; Renewable Energy Production - Energy Storage; Renewable Energy Production - Other; Renewable Energy Production - Solar; Research and Development; Utilities (electricity, gas, telecommunications); Waste Management; Water Re"
A9 + B3.3,"A9, B3.3","A9, B3.3",11,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Electricity Transmission; Land Use or Forest Management Plan; Public and Recreational Land Use; Renewable Energy Production - Hydrokinetic; Renewable Energy Production - Wind, Offshore; Renewable Energy Productio"
A11 + A9 + B2.5 + B3.6 + B5.1,"A9, A11, B2.5, B3.6, B5.1","A9, A11, B2.5, B3.6, B5.1",11,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infra,"Data Storage and Data Management; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Renewable Energy Production - Biomass; Renewable En"
A2 + B1.24 + B3.6,"A2, B1.24, B3.6","A2, B1.24, B3.6",11,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Agriculture; Broadband; Data Storage and Data Management; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Land Development - Urban; Renewable Energy Production - Biomass; Research and Development; Uti
A1 + B5.22,"A1, B5.22","A1, B5.22",11,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Land Development - Other; Land Development - Urban; Renewable Energy Production - Biomass; Research and Development; Surface Transportation - Other; Surfac
B1.7 + B4.6,"B1.7, B4.6","B1.7, B4.6",11,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Broadband; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Manufacturing; Renewable Energy Production - Biomass; Renewable Energy Production - Hydrokinetic; Renewable Energy 
B.4.9,B.4.9,B.4.9,11,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure,Agriculture; Broadband; Electricity Transmission; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Public and Recreational Land Use; Renewable Energy Production - Solar; Surface Transportation - Other; Utilities
A9 + B5.13,"A9, B5.13","A9, B5.13",11,DOE,No,,No,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Electricity Transmission; High Performance Computing and Advanced Computer 
B1.19 + B4.9,"B1.19, B4.9","B1.19, B4.9",11,DOE,No,,No,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Broadband; Electricity Transmission; Land Development - Other; Utilities (electricity, gas, telecommunications); Waste Management"
B1.3 + B6.1,"B1.3, B6.1","B1.3, B6.1",11,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Aviation - Commercial Space; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Land Development - Other; Land Development - Urban; Nuclear Technology; Public and Recreational Land Use; Surface Transportation
516 DM 11.9. J,"516 DM 11.9. J. Other 11., Actions where the BLM has concurrence or co-approval ","516 DM 11.9. J. Other 11., Actions where the BLM has concurrence or co-approval with another DOI agency and the action i",10,BLM,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Ecosystem Management and Restoration; Habitat Conservation Plan; Mining - Non-Metallic Minerals; Public and Recreational Land Use; Rangeland Management; Research and Development; Threatened and Endangered Species Management; Vegetation and Fuels Mana
"None, The action is a lease of a livestock grazing","None, The action is a lease of a livestock grazing permit from one applicant to ","None, The action is a lease of a livestock grazing permit from one applicant to another. The permit terms and conditions",10,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Agriculture; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Rangeland Management"
"H-1790, Appendix 3, 1.11, Activities which are edu","H-1790, Appendix 3, 1.11, Activities which are educational, informational, advis","H-1790, Appendix 3, 1.11, Activities which are educational, informational, advisory, or consultative to other agencies, ",10,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mining - Metals; Public and Recreational Land Use; Research and Development; Surface Transportation - Other; Waste Management"
BLM National Environmental Policy Act Handbook (H-,"BLM National Environmental Policy Act Handbook (H-1790-1), Appendix 4(E), Realty","BLM National Environmental Policy Act Handbook (H-1790-1), Appendix 4(E), Realty(9), Renewals and assignments of leases,",10,BLM,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,"Broadband; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Mining - Non-Metallic Minerals; Public and Recreational Land Use; Surface Transportation - Other; Utilities (electricity, gas, telecommunications); Veg"
516 DM 11.9.G,"516 DM 11.9.G(2), Installation of routine signs, markers, culverts, ditches, wat","516 DM 11.9.G(2), Installation of routine signs, markers, culverts, ditches, waterbars, gates, or cattleguards on/or adj",10,BLM,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,Agriculture; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Mining - Non-Metallic Minerals; Public and Recreational Land Use; Rangeland Management; Surface Transportation 
516 DM 11.9. B,"516 DM 11.9. Bureau of Land Management NEPA Handbook H-1790-1, Appendix 4., D. R","516 DM 11.9. Bureau of Land Management NEPA Handbook H-1790-1, Appendix 4., D. Rangeland Management
10. Vegetation manag",10,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Manageme,"Agriculture; Conventional Energy Production - Land-based Oil & Gas; Data Storage and Data Management; Ecosystem Management and Restoration; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Us"
B1.4 + B2.5 + B5.1,"B2.5, B5.1, B1.4","B2.5, B5.1, B1.4",10,DOE,No,,No,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Other; Land Development - Urban; Public and Recreational Land Use; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other"
B1.3 + B2.2,"B1.3, B2.2","B1.3, B2.2",10,DOE,No,,No,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,"Cybersecurity; Electricity Transmission; Land Development - Other; Nuclear Technology; Routine Maintenance; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Irrigation and Water Supply; Water Resources - Other"
B1.3 + B1.33,"B1.3, B1.33","B1.3, B1.33",10,DOE,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Routine Maintenance; Surface Transportation - Other; Vegetation and Fuels Management; Waste Management; Water Resources - Other
B1.15 + B3.6,"B1.15,B3.6","B1.15,B3.6",10,DOE,No,,No,"Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure;",Artificial Intelligence and Machine Learning; Conventional Energy Production - Coal; Conventional Energy Production - Nuclear; Data Storage and Data Management; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and S
B1.15 + B2.5,"B1.15, B2.5","B1.15, B2.5",10,DOE,No,,No,"Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management","Electricity Transmission; Land Development - Other; Military and Defense; Nuclear Technology; Public and Recreational Land Use; Routine Maintenance; Utilities (electricity, gas, telecommunications); Water Resources - Irrigation and Water Supply; Wate"
B6.9,B6.9,B6.9,10,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Water and Waste Management,Ecosystem Management and Restoration; Land Development - Other; Nuclear Technology; Renewable Energy Production - Energy Storage; Renewable Energy Production - Solar; Research and Development; Waste Management; Water Resources - Other
A5 + A6,"A5, A6","A5, A6",10,DOE,No,,No,Environmental Policy and Regulation; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Laws, Policies, Regulations, and Guidance; Manufacturing; Research and Development; Utilities (electricity, gas, telecommunications)"
A9 + B3.3 + B3.6,"A9, B3.3, B3.6","A9, B3.3, B3.6",10,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,"Agriculture; Ecosystem Management and Restoration; Manufacturing; Renewable Energy Production - Hydropower; Renewable Energy Production - Other; Renewable Energy Production - Wind, Onshore; Research and Development; Threatened and Endangered Species "
B6.6,B6.6,B6.6,10,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Nuclear; Land Development - Other; Nuclear Technology; Research and Development; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other"
B4.8,B4.8,B4.8,10,DOE,No,,No,"Environmental Policy and Regulation; Military, Defense, and Emergency Response; Technology and Data Management; Transportation and Infrastructure","Electricity Transmission; Emergency and Disaster Response; High Performance Computing and Advanced Computer Hardware and Software; Laws, Policies, Regulations, and Guidance; Utilities (electricity, gas, telecommunications)"
B2.2 + B5.1,"B2.2, B5.1","B2.2, B5.1",10,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Other; Data Storage and Data Management; Electricity Transmission; Land Development - Other; Land Development - Urban; Manufacturing; Public and Recreational Land Use; Renewable Energy Production - Biomass; Renewable 
A11 + A9 + B3.6 + B5.15,"A9, A11, B3.6, B5.15","A9, A11, B3.6, B5.15",10,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,"Carbon Capture and Sequestration; Conventional Energy Production - Other; Laws, Policies, Regulations, and Guidance; Manufacturing; Renewable Energy Production - Energy Storage; Renewable Energy Production - Hydrokinetic; Renewable Energy Production "
